月,投稿数,再生数,いいね,コメント,シェア,保存数,プロフ閲覧,リーチ数,フォロワー増,平均視聴秒,フル視聴率,応募数
2025-09,2,176279,2880,31,26,302,2592,144531,51,22.200,0.148,19
2025-10,17,2741138,43158,525,297,4002,46545,2456528,907,25.416,0.165,19
2025-11,14,2274797,32318,370,247,3083,46439,1795989,836,30.691,0.109,18
2025-12,21,5141944,70546,820,435,6757,181377,4021028,2772,31.231,0.175,16
2026-01,23,3798025,59029,804,412,4941,91054,2999702,1339,29.899,0.172,11
2026-02,12,918741,12326,85,111,933,39798,723245,272,21.192,0.174,16
2026-03,11,954839,12848,114,107,1005,35821,838455,348,22.928,0.153,22
2026-04,8,775625,8821,117,80,839,18198,714802,243,20.244,0.119,19
2026-05,15,4683560,57642,479,273,4504,272078,4344906,2743,23.711,0.193,17
2026-06,7,2528702,31970,389,202,2682,137147,1931586,1396,30.449,0.276,
