No,投稿日,タイトル,企画カテゴリ,秒数,再生回数,リーチ数,いいね,コメント,シェア,保存数,エンゲージ数,エンゲージ率%,保存率%,コメント率%,平均視聴秒,フル視聴率%,プロフィール閲覧数,フォロワー増加数,おすすめ%,検索%,男性%,女性%,動画ID,動画URL
1,2026-07-11,仙台牛1口でご飯何口？,参加・チャレンジ企画,57.515,10011,4149.0,89,2,4,7,102,1.02,0.07,0.02,19.35,2.81,92.0,6.0,99.1,0.1,73.0,27.0,7660777392746581266,https://www.tiktok.com/@rikyu.official/video/7660777392746581266
2,2026-07-09,南三陸産アワビ炭火・裏メニュー,高級・限定メニュー,34.369,1358,1125.0,21,0,0,0,21,1.55,0.0,0.0,9.94,4.44,39.0,0.0,86.4,2.1,65.0,35.0,7660091242570681608,https://www.tiktok.com/@rikyu.official/video/7660091242570681608
3,2026-07-08,肉厚ジューシー牛たん炭火焼き,定番・日常訴求,21.44,1763,1464.0,44,2,0,6,52,2.95,0.34,0.113,5.66,4.55,44.0,1.0,80.1,7.1,60.0,40.0,7660057009349250311,https://www.tiktok.com/@rikyu.official/video/7660057009349250311
4,2026-07-01,平日限定 純レバスタミナ炒め定食,高級・限定メニュー,60.886,5271,4716.0,69,0,1,9,79,1.5,0.171,0.0,11.64,3.2,123.0,5.0,94.1,1.7,62.0,38.0,7657491378028432647,https://www.tiktok.com/@rikyu.official/video/7657491378028432647
5,2026-06-28,牛たんシチューとご飯,サイドメニュー訴求,75.713,4556,4185.0,39,4,0,4,47,1.03,0.088,0.088,15.66,2.4,138.0,6.0,93.3,0.9,73.0,27.0,7656253127661718791,https://www.tiktok.com/@rikyu.official/video/7656253127661718791
6,2026-06-26,シチューは飲み物,サイドメニュー訴求,90.305,1671,1407.0,38,2,1,7,48,2.87,0.419,0.12,8.78,1.96,68.0,1.0,83.5,2.5,64.0,36.0,7655571765518961928,https://www.tiktok.com/@rikyu.official/video/7655571765518961928
7,2026-06-24,絶品牛たん何口いける？,参加・チャレンジ企画,81.942,752,645.0,10,0,0,0,10,1.33,0.0,0.0,11.78,1.46,11.0,0.0,63.5,1.6,64.0,36.0,7654856638880353543,https://www.tiktok.com/@rikyu.official/video/7654856638880353543
8,2026-06-22,ミックスグリル限界挑戦,参加・チャレンジ企画,103.105,952,787.0,13,0,0,0,13,1.37,0.0,0.0,10.62,1.71,43.0,0.0,71.3,5.5,66.0,34.0,7654115711329029384,https://www.tiktok.com/@rikyu.official/video/7654115711329029384
9,2026-06-18,社員が本音でオススメ・1万円の使い方,焼き音・ASMR,58.987,2298,2043.0,49,2,0,7,58,2.52,0.305,0.087,10.24,3.33,65.0,2.0,82.7,4.7,66.0,34.0,7652616424602520840,https://www.tiktok.com/@rikyu.official/video/7652616424602520840
10,2026-06-13,お刺身盛り合わせ,サイドメニュー訴求,58.816,1571,1312.0,29,0,0,4,33,2.1,0.255,0.0,7.8,2.3,42.0,0.0,76.0,3.3,61.0,39.0,7650781859403664641,https://www.tiktok.com/@rikyu.official/video/7650781859403664641
11,2026-06-11,ハラミ1口限界チャレンジ,参加・チャレンジ企画,54.785,14104,13421.0,85,2,0,12,99,0.7,0.085,0.014,15.3,3.64,290.0,5.0,96.2,1.4,75.0,25.0,7649652961131482376,https://www.tiktok.com/@rikyu.official/video/7649652961131482376
12,2026-06-09,シャリアピンソース・ハラミステーキ,定番・日常訴求,38.976,1714,1498.0,50,0,1,7,58,3.38,0.408,0.0,6.21,3.43,51.0,3.0,73.4,4.2,60.0,40.0,7649264745463221512,https://www.tiktok.com/@rikyu.official/video/7649264745463221512
13,2026-06-04,山菜天ぷら盛り合わせ,サイドメニュー訴求,60.011,1818,1599.0,35,4,0,3,42,2.31,0.165,0.22,6.49,1.74,57.0,1.0,71.7,4.2,63.0,37.0,7646656120542547218,https://www.tiktok.com/@rikyu.official/video/7646656120542547218
14,2026-06-02,職人の炭火牛たん焼き,製造・職人・舞台裏,41.11,2573,2191.0,43,4,2,4,53,2.06,0.155,0.155,7.6,2.88,57.0,1.0,71.4,5.8,64.0,36.0,7646655534481034514,https://www.tiktok.com/@rikyu.official/video/7646655534481034514
15,2026-05-31,サクサク天ぷら,サイドメニュー訴求,56.235,2692,2451.0,38,2,0,6,46,1.71,0.223,0.074,7.15,2.63,96.0,2.0,77.3,2.8,63.0,37.0,7644451910115675410,https://www.tiktok.com/@rikyu.official/video/7644451910115675410
16,2026-05-29,焼き長「常に1枚目のつもり」,定番・日常訴求,39.702,4237,3803.0,57,8,2,7,74,1.75,0.165,0.189,8.58,4.47,87.0,4.0,77.0,6.0,65.0,35.0,7644450820917873927,https://www.tiktok.com/@rikyu.official/video/7644450820917873927
17,2026-05-27,熱々テールスープ,サイドメニュー訴求,55.147,29189,25529.0,332,23,1,41,397,1.36,0.14,0.079,10.58,2.02,739.0,24.0,95.4,1.2,80.0,20.0,7644450302699080978,https://www.tiktok.com/@rikyu.official/video/7644450302699080978
18,2026-05-16,ミックスグリル定食・社員ガチ推し,サイドメニュー訴求,45.014,3057,2555.0,55,3,2,6,66,2.16,0.196,0.098,7.6,3.32,93.0,10.0,69.1,7.3,65.0,35.0,7640300958278372616,https://www.tiktok.com/@rikyu.official/video/7640300958278372616
19,2026-05-15,牛たん×ビール,サイドメニュー訴求,70.4,1519,1180.0,28,0,1,4,33,2.17,0.263,0.0,10.14,2.49,49.0,1.0,48.3,5.1,64.0,36.0,7639998881475972359,https://www.tiktok.com/@rikyu.official/video/7639998881475972359
20,2026-05-14,泉ヶ岳の行者ニンニク,サイドメニュー訴求,67.52,1332,1118.0,8,1,1,0,10,0.75,0.0,0.075,12.02,2.45,15.0,0.0,43.6,7.1,70.0,30.0,7639628012681530631,https://www.tiktok.com/@rikyu.official/video/7639628012681530631
21,2026-05-09,塩釜産本マグロ大トロ,高級・限定メニュー,24.171,3596,3288.0,55,0,4,6,65,1.81,0.167,0.0,8.13,8.28,83.0,7.0,76.7,7.8,66.0,34.0,7637396108477500680,https://www.tiktok.com/@rikyu.official/video/7637396108477500680
22,2026-05-08,仙台牛レア牛カツ,高級・限定メニュー,38.571,3269,2737.0,56,1,1,8,66,2.02,0.245,0.031,7.72,3.61,93.0,2.0,73.2,8.1,68.0,32.0,7637395673427578120,https://www.tiktok.com/@rikyu.official/video/7637395673427578120
